feat,lrp
A,-0.0008108593576878107
C,-0.0011390396838294008
T,-0.0007354615594679406
G,-0.00043206210023930165
TFs_and_others_CHD8,8.795995592824636e-06
TFs_and_others_ZEB2,5.4304374548739985e-05
TFs_and_others_ARID4A,1.9476755107628454e-06
TFs_and_others_SIX4,1.312503734648052e-05
TFs_and_others_TFAP2C,2.7788976152218704e-05
TFs_and_others_HLF,2.868579099560054e-05
TFs_and_others_ZNF572,9.634677512879171e-06
TFs_and_others_RUNX2,1.8902191652005426e-05
Histone_H2A.ZK4K7ac,-5.2934056462193616e-06
TFs_and_others_TAF1,-3.24085197451873e-06
TFs_and_others_ZNF34,-5.347703761975362e-06
TFs_and_others_AFF4,2.3389705261090813e-06
TFs_and_others_CSDE1,3.4221105008602892e-06
TFs_and_others_ZNF460,7.358756727819562e-06
TFs_and_others_NFKBIA,4.644754983688182e-07
Histone_H3K9K14K18K23K27ac,1.28415599368867e-07
TFs_and_others_NCOA6,7.143246993598352e-08
TFs_and_others_KLF13,-3.6791873315049946e-08
TFs_and_others_PHB2,-3.294869036041344e-07
TFs_and_others_SMARCE1,-8.35609067835219e-07
TFs_and_others_ZBTB39,5.736593262851406e-07
TFs_and_others_ZNF473,-2.899003125502936e-07
TFs_and_others_SIX5,6.769109349248244e-07
TFs_and_others_ZNF574,-1.1071165969348485e-06
TFs_and_others_FOXF2,6.171834518772679e-07
TFs_and_others_PURB,4.7499664495593884e-07
TFs_and_others_THRB,8.427503872900105e-06
TFs_and_others_ZNF124,9.742604377204928e-06
TFs_and_others_TRIM28,2.822246099448341e-05
TFs_and_others_MYOCD,2.9903463158334346e-06
TFs_and_others_SMAD5,5.11469190725461e-06
TFs_and_others_CDK2,2.823527447094239e-05
TFs_and_others_NR4A1,3.006938451371081e-05
TFs_and_others_HOXB13,8.510172915555913e-05
TFs_and_others_FOXB1,4.0758433945124495e-06
TFs_and_others_ZNF768,1.862362530716049e-06
TFs_and_others_SYNCRIP,-4.7291936309288086e-07
TFs_and_others_SUZ12,-8.689941939262384e-07
TFs_and_others_SCMH1,1.3491810951105705e-06
TFs_and_others_DAXX,1.8474649420738024e-05
TFs_and_others_ZNF709,2.0179215071007645e-05
TFs_and_others_NANOG,5.721014017686401e-05
TFs_and_others_ULK3,3.710895182997532e-06
TFs_and_others_MORC2,3.533931407002836e-06
TFs_and_others_ZSCAN18,1.0400096352858669e-07
TFs_and_others_SRPK2,-6.032243519052763e-07
TFs_and_others_ZNF570,-9.269782868349055e-07
TFs_and_others_QSER1,-2.8180893038941055e-06
TFs_and_others_NR2E3,9.506955005339137e-08
TFs_and_others_NR2F6,-2.7048776530134618e-06
TFs_and_others_CBX6,-2.4721406980776336e-06
TFs_and_others_AML1-ETO,-7.903177077995339e-06
TFs_and_others_MAF,1.058949019547424e-06
TFs_and_others_EGR2,1.285211049354745e-07
TFs_and_others_WAS,-4.9340915960790975e-08
Histone_macroH2A1.2,1.850375794847085e-07
TFs_and_others_HMBOX1,1.14966740421693e-07
TFs_and_others_SOX11,-4.5798463498234493e-07
TFs_and_others_WT1,-9.56889231882745e-07
TFs_and_others_NELFA,6.683249363068804e-07
TFs_and_others_NXF1,4.157116250490191e-07
TFs_and_others_ASXL2,2.0296488117674416e-06
TFs_and_others_FOXP4,6.959724205009398e-07
TFs_and_others_TBL1XR1,-3.583335341380268e-07
TFs_and_others_ZFX,-2.5378565276293796e-06
TFs_and_others_IRF2,-8.976670538067339e-07
TFs_and_others_TET1,-2.4166130428023638e-06
TFs_and_others_ZNF253,7.243725719159387e-08
TFs_and_others_ZNF142,1.1052880709109648e-06
TFs_and_others_PRDM14,1.190658234576119e-06
TFs_and_others_ZFP30,7.2557273062280064e-06
TFs_and_others_ARNT2,4.4557919316605114e-06
TFs_and_others_ZNF143,1.3158157625601683e-05
TFs_and_others_ZNF346,1.4953593863672207e-06
TFs_and_others_NFATC1,3.049614921901352e-06
TFs_and_others_AUTS2,6.164831668888531e-08
TFs_and_others_KLF15,1.0501946561659073e-07
TFs_and_others_MAPK14,5.309324043048437e-07
TFs_and_others_E2F5,2.8014949089953674e-06
TFs_and_others_ERF,4.153818022701899e-06
TFs_and_others_VDR,6.066255385897459e-06
TFs_and_others_ZNF155,2.6415435847473395e-06
TFs_and_others_ATF4,6.605495610045382e-06
TFs_and_others_TRIM37,6.256025761984836e-07
TFs_and_others_KDM5C,4.7182987738606257e-07
Histone_H2B,-4.509328729994766e-07
TFs_and_others_OGT,-7.713507343931027e-06
TFs_and_others_EGFR,-7.929945042726197e-06
TFs_and_others_KMT2A,-2.5724573562019883e-05
TFs_and_others_NFYA,-2.873874560519683e-06
TFs_and_others_ATF3,-1.1452087726553045e-05
TFs_and_others_ZIK1,-7.916899044146857e-07
TFs_and_others_NKX3-1,-1.2979415111010485e-06
TFs_and_others_SOX15,1.5088246558209667e-07
TFs_and_others_RREB1,4.771594475880506e-07
TFs_and_others_GPS2,-1.7048357172175755e-08
TFs_and_others_ZNF484,2.331191359187071e-09
TFs_and_others_TSHZ2,-2.141722139654302e-07
TFs_and_others_BRD8,-5.385020365711688e-07
TFs_and_others_ZBTB2,-2.7754999534045638e-06
TFs_and_others_HIC2,-2.947752574592372e-06
TFs_and_others_BMI1,-7.184319199665431e-06
TFs_and_others_PHF20,1.5030765582029615e-06
TFs_and_others_KLF14,-6.79800134610089e-07
TFs_and_others_ID4,-1.5280265195138587e-07
TFs_and_others_OSR2,-6.74138037078305e-07
TFs_and_others_MYBL2,1.622370044106874e-06
TFs_and_others_HLTF,1.0599339937738624e-06
TFs_and_others_ZNF491,2.3241336365884372e-07
TFs_and_others_GTF2H2,7.352037036493583e-08
TFs_and_others_EPOP,-6.524127313417344e-07
TFs_and_others_ZNF641,-9.535174851419896e-07
TFs_and_others_NFKB1,-4.3823139848248765e-06
RNA_polymerase_POLR3GL,-3.2945984826395547e-06
TFs_and_others_TAZ,-7.283830213973891e-06
TFs_and_others_TRF2,-7.139682077261118e-07
TFs_and_others_TCF25,-7.822492261699833e-06
TFs_and_others_ZNF660,-9.187204731781452e-06
TFs_and_others_SMC1A,-2.570006265690429e-05
TFs_and_others_DLX6,-1.5692237587587225e-06
TFs_and_others_ZBTB46,-1.9553240736359584e-06
TFs_and_others_EMX1,2.8151789038666945e-07
TFs_and_others_MAZ,-4.346004750834367e-07
TFs_and_others_DCP1A,1.5412333970952242e-06
TFs_and_others_ZMAT5,6.975698090398381e-07
TFs_and_others_NKX6-1,1.0062705192671532e-06
TFs_and_others_ZNF677,2.3744717873609035e-06
Histone_H2AT120ph,1.454246655299983e-07
TFs_and_others_ETV3,2.075836154809053e-07
TFs_and_others_ZNF839,-1.415814014183336e-07
TFs_and_others_LHX4,-1.9886264076776545e-07
TFs_and_others_PLAG1,-6.634046555294426e-07
Histone_H3R2me2,2.470757003631028e-07
TFs_and_others_DNAJC2,-5.166730518407256e-06
TFs_and_others_CCDC101,-4.182559250786473e-06
TFs_and_others_SOX10,-1.3024597334362032e-05
TFs_and_others_ZNF569,1.0277026489396402e-08
TFs_and_others_MLL-AF4,4.859287485687391e-05
TFs_and_others_RLF,5.953450874354498e-05
TFs_and_others_GATA2,0.00017333362818098945
TFs_and_others_ZNF764,1.1726458016173846e-05
TFs_and_others_CHAF1A,1.3367526423599977e-05
TFs_and_others_ETV1,2.2287152967140555e-06
TFs_and_others_MED26,3.308075133854295e-06
TFs_and_others_CDC73,3.7561331342300415e-06
Histone_H2AK119Ub,1.0568955510535967e-05
TFs_and_others_GRHL3,6.309687298761558e-05
TFs_and_others_TCEAL8,8.131172006982088e-05
TFs_and_others_SMARCA4,0.00023287413242051503
TFs_and_others_PRDM11,2.051740883778645e-05
TFs_and_others_ZSCAN32,2.1287961289609106e-05
Histone_H4K5K8K12K16ac,7.000159860040934e-06
TFs_and_others_RB1,-4.321556864814235e-07
TFs_and_others_C17orf49,-1.5875873966138095e-06
RNA_polymerase_POLR3B,-5.128030487148962e-06
TFs_and_others_LBX2,-2.2366496986046973e-07
TFs_and_others_GATAD2A,2.798668012010128e-07
TFs_and_others_ZFP42,8.349827294016259e-07
Histone_H4K20me1,2.3642751574309813e-06
Histone_H3.1,-4.240312323653343e-08
TFs_and_others_NEDD4,-2.5161597459070424e-07
TFs_and_others_CDX2,-1.045767627391434e-06
TFs_and_others_IRX2,-7.941529775856244e-08
TFs_and_others_TCEB3,1.4568163099469204e-08
TFs_and_others_MZF1,-2.2445896360274204e-07
TFs_and_others_ZBED2,-4.6614694108314957e-07
TFs_and_others_WDHD1,-6.621192185392853e-08
TFs_and_others_ATF7,-6.883284296817734e-07
TFs_and_others_ORC2,-6.642451188860155e-07
TFs_and_others_HMGXB4,-3.434958828177175e-06
TFs_and_others_SLBP,-1.9040996474364752e-06
TFs_and_others_TBP,-5.70748780774311e-06
TFs_and_others_ZNF248,-7.178235025586989e-07
TFs_and_others_HDAC9,-3.5335793300413027e-06
TFs_and_others_CHD6,-8.556199006811709e-06
TFs_and_others_TRP47,-1.3801124149086613e-05
